id,abbreviation,local_abbreviation,title,local_title,language__iso_639_1,language__name,language__local_name,taxonomy,benchmark
1161,IAB,موقدس کتاب,Iranian Azeri Bible,موقدس کتاب,,Azeri (Persian script),آذری,,
4196,SAB,SAB,Southern Azerbaijani Bible - Literary,کتاب مقدس به زبان آذربایجانی جنوبی - نسخه ادبی,,Azeri (Persian script),آذری,,
302,BAN,BAN,Today's Bali Bible 1990,Cakepan Suci,,Balinese,"Bali, basa",0,
2841,LAIBGZ,LAIBGZ,Old and New Testament in Today's Banggai Version,KITAB MOLIYOUS BILITA MONONDOK,,Banggai,Banggai,0,
2666,BBE,BBE,BARI BIBLE 1979,"Bibilia, Buk na Ŋun nagon koti luŋu a",,Bari,Kutuk,0,1
2230,NHAD,NHAD,The Word of God,Nan Hapit Apo Dios,,Batad Ifugao,Batad Ifugao,0,
2836,LAIAKB,LAIAKB,Today's Angkola Version,BIBEL JAMITA NA DENGGAN,,Batak Angkola,Batak Angkola,0,
35,BTX,BTX,Today's Batak Karo Bible,Pustaka Si Badia,,Batak Karo,Batak Karo,0,
2441,beo,BEO,Bedamuni Bible,GODE EA SIA: IDA:IWANE GALA,,Beami,Beami,,
1573,BBB,БББ,Bible (A.Bokun translation),Біблія (пераклад А.Бокуна),be,Belarusian,беларуская,3,1
809,BACIB,BACIB,কিতাবুল মোকাদ্দস,কিতাবুল মোকাদ্দস,bn,Bengali (Bangla),বাংলা,3,1
1681,BENGALI-BSI,BENGALI-BSI,Bengali Old Version Bible (BSI),পবিত্র বাইবেল O.V. (BSI),bn,Bengali (Bangla),বাংলা,3,1
1883,IRVBen,IRVBen,Indian Revised Version (IRV) Bengali,ইন্ডিয়ান রিভাইজড ভার্সন (IRV) - বেঙ্গলী,bn,Bengali (Bangla),বাংলা,3,1
3150,BERV,BERV,Holy Bible: Easy-to-Read Version,পবিত্র বাইবেল,bn,Bengali (Bangla),বাংলা,3,
1591,bomBI,bomBI,Berom Bible,Bwok-basa Dagwi wuna-na-sira roso tanga pas,,Berom,Berom,,
2767,BHDNT,BHDNT,Bhadrawahi Bible,भड्लाई भाषाई मां पवित्र शास्त्र,,Bhadrawahi,Bhadrawahi,,
18,TBV,TBVONT,Today's Biatah Version Bible,Hakcipta - Biatah Bidayuh,,Biatah Bidayuh,Biatah Bidayuh,,
4595,OBBR,OBBR,Open Bislama Bible Revised 2012,Baebol Long Bislama,bi,Bislama,Bislama,1,
3077,BKY,BKY,Bokyi Bible,Bokyi Bible,,Bokyi,Bokyi,,
1231,Koad21,Koad21,Breton Koad21,Bibl Koad 21: Ar Bibl e Brezhoneg evit ar Vretoned,br,Breton,Brezhoneg,1,1
2847,LAIBUG,LAIBUG,Old and New Testament in Today's Bugis Version,KITTA KAREBA MADECENG,,Bugis,Bugis,1,
2176,BWU,BWU,BULI BIBLE,WEN GBAŊKA,,Buli (Ghana),Buli (Ghana),0,1
2964,KJS17,KJS17,Suriname Javanese Bible,Kitab Jawa Suriname,,Caribbean Javanese,Basa Jawa Suriname,,
2010,BEC,BEC,Bíblia Evangèlica Catalana,Bíblia Evangèlica Catalana,ca,Catalan,Català,4,1
261,QCA10,QCA10,Biblia Quichua Cañar 2010,Dios Rimashcata Quillcashcami,,Cañar Highland Quichua,Kichwa: Ura urcucuna,1,1
9,CCB,APD,Cebuano Contemporary Bible,Ang Pulong sa Dios,,Cebuano,Cebuano,3,
562,RCPV,RCPV,Revised Bible,Ang Bag-ong Maayong Balita Biblia,,Cebuano,Cebuano,3,
2187,ABCEB,ABCEB,Cebuano Form-Based Bible (2011),"Ang Biblia, 2011",,Cebuano,Cebuano,3,1
293,AYOP,AYOP,Biblia Aymara,Qullan Arunaca,,Central Aymara,Aymar,1,
2251,AYBOL1986,AYBOL1986,Biblia Aymara 1986,Aymar Bibliia 1986,,Central Aymara,Aymar,1,
751,nch,nchC,Icamanal Toteco (Central) - Bible,Icamanal Toteco,,Central Huasteca Nahuatl,Central Huasteca Nahuatl,1,
502,ShuArab,ع.د.ت19,Arabe tchadien (alphabet arabe),الكتاب المقدس بالعربي الدارجي هنا تشاد,,Chadian Arabic,العربي الدارجي هنا تشاد,,
501,ShulLatn,ADT19,Arabe tchadien (alphabet latin),Al-Kitaab al-Mukhaddas be l-arabi al-daariji hana Tchad,,Chadian Arabic (Roman script),Arabe tchadien,,
3230,mrn,mrn,Cheke Holo Bible,Buka Blahi Ka Cheke Holo,,Cheke Holo,Cheke Holo,0,
1630,SCA,एस सी ए,"Holy Bible, Chhattisgarhi Contemporary Version","पबितर बाईबल,समकालीन छत्तीसगढ़ी अनुवाद",,Chhattisgarhi,Chhattisgarhi,,
262,QCHI04,QCHI04,Quichua Chimborazo Bible,Dios Rimashca Shimicunami,,Chimborazo Highland Quichua,Kichwa: Chaupi urcucuna,1,1
3026,CAN,CAN,Romanised Cantonese Colloquial Bible 1915,Shìng-King 1915 (Kwóng-Tung Wâ),,Chinese (Cantonese),Kwóng-tung wâ,1,1
1578,CWUV,文理和合譯本,Chinese Union High Wenli Version,文理和合譯本《新舊約全書》,,Chinese (Classical),文言（中文）,1,1
2283,CWMMV,神天聖書,Morrison-Milne Wenli Version,馬禮遜－米憐文理《神天聖書》,,Chinese (Classical),文言（中文）,1,1
2295,CWDV,委辦譯本,Wenli Delegates' Version,文理《委辦譯本》,,Chinese (Classical),文言（中文）,1,
2296,CWSV,施約瑟淺文理譯本,Schereschewsky Wenli Version,施約瑟淺文理《新舊約聖經》,,Chinese (Classical),文言（中文）,1,
2323,CWMLV,馬殊曼－拉撒文理譯本,Marshman-Lassar Wenli Version,馬殊曼－拉撒文理《新舊約全書》,,Chinese (Classical),文言（中文）,1,
36,CCB,CCB,Chinese Contemporary Bible 2022 (Simplified),当代译本,zh_CN,Chinese (Simplified),简体中文,5,
41,CNVS,CNVS,新译本（简体字版）,新译本,zh_CN,Chinese (Simplified),简体中文,5,
43,CSBS,CSBS,Chinese Standard Bible (Simplified Script),中文标准译本,zh_CN,Chinese (Simplified),简体中文,5,1
47,CUNPSS-Shangti,CUNPSS-上帝,"Chinese Union Version, New Punctuation, Shangti Edition, SS","新标点和合本, 上帝版",zh_CN,Chinese (Simplified),简体中文,5,1
48,CUNPSS-Shen,CUNPSS-神,Chinese Union New Punctuation 1989 Bible,"新标点和合本, 神版",zh_CN,Chinese (Simplified),简体中文,5,1
3780,CMN,普通话,Simplified Chinese: Holy Bible: Easy-to-Read Translation (Mandarin),圣经–普通话本,zh_CN,Chinese (Simplified),简体中文,5,
40,CNV,CNV,新譯本（繁體字版）,新譯本,zh_TW,Chinese (Traditional),繁體中文,5,
46,CUNP-Shen,CUNP-神,"Chinese Union Version, New Punctuation, Shen Edition, TS","新標點和合本, 神版",zh_TW,Chinese (Traditional),繁體中文,5,1
312,CSBT,CSBT,Chinese Standard Bible (Traditional Script),中文標準譯本,zh_TW,Chinese (Traditional),繁體中文,5,1
414,CUNP-Shangti,CUNP-上帝,"Chinese Union Version, New Punctuation, Shangti Edition, TS","新標點和合本, 上帝版",zh_TW,Chinese (Traditional),繁體中文,5,1
1392,CCBT,CCB,Chinese Contemporary Bible 2023 (Traditional),當代譯本,zh_TW,Chinese (Traditional),繁體中文,5,
1579,CMUV,官話和合譯本,Chinese Union Mandarin Version,《官話和合譯本》,zh_TW,Chinese (Traditional),繁體中文,5,
4230,RCV,恢復本,Recovery Version Traditional Chinese,恢復本 繁體中文,zh_TW,Chinese (Traditional),繁體中文,5,1
1806,THV12Hdb,THV12Hdb,"The Hakka Bible – Today's Taiwan Hakka Version, Old and New Testaments – Han Character Edition",客語聖經 – 現代臺灣客語譯本，新舊約全書客語聖經 – 漢字版,,"Chinese, Hakka",客家話‎ (Hakkafa),1,
2408,THV12Rdb,THV12Rdb,"Name: The Hakka Bible – Today's Taiwan Hakka Version, Old and New Testaments – Roman Script Edition (2012)",HAK-NGÎ SṲN-KÎN – Hien-thoi Thòi-vân Hak-ngî Yi̍t-pún – Sîn-Khiu Yok Chhiòn Sû (Lò-mâ-sṳ pán),,"Chinese, Hakka",Hakkafa (Roman script),1,
3619,TTVR,TTVR,TODAY'S TAIWANESE VERSION ROMANIZED-HAN EDITION,現代台語譯本羅馬字版,,"Chinese, Min Nan","Chinese, Min Nan",1,
3620,TTVH,TTVH,TODAY'S TAIWANESE VERSION ROMANIZED-HAN EDITION,現代台語譯本漢字版,,"Chinese, Min Nan","Chinese, Min Nan",1,
3434,Csa,Csa,Chokwe Bible 1975,MUKANDA USANDU WA ZAMBI 1975,,Chokwe,Chokwe,,
2275,CTU77,CTU77,Chol de Tumbalá Bible,Chol de Tumbalá Bible,,Chol,Chol,0,
492,CSM,CSM,Chuj San Mateo Bible,Chuj San Mateo Bible,,Chuj,Chuj,0,
494,CSS,CSS,Chuj San Sebastian Bible,Chuj San Sebastian Bible,,Chuj,Chuj,0,
3003,CHK,CHK,Chuukese Bible,Chuukese Bible,,Chuukese,Chuukese,0,1
1847,CIMB,CIMB,Cook Islands Maori Bible (1888/1972 Edition),Bibilia Tapu,,Cook Islands Maori (Rarotongan),Māori Kūki 'Āirani,,
2083,WCBs,KKMs,Western Cree Bible (Syllabics),ᑲᓈᒋ ᑭᐦᒋ ᒪᓯᓈᐦᐃᑲᐣ,,Cree: Plains (nēhiyawēwin),ᓀᐦᐃᔭᐍᐏᐣ,1,1
2084,WCBR,KKMR,Western Cree Bible (SRO),Kanāci Kihci Masinahikan,,Cree: Plains (nēhiyawēwin),ᓀᐦᐃᔭᐍᐏᐣ,1,1
1444,BKJ,BKJ,Bible of King James,Biblija kralja Jakova,hr,Croatian,Hrvatski,4,1
2475,SHP,SHP,Holy Bible: Easy-to-Read Translation,Biblija: suvremeni hrvatski prijevod,hr,Croatian,Hrvatski,4,1
2391,QUECUZ,QUECUZ,Revised Quechua Cuzco Bible,Diospa Simin Qelqa,,Cusco Quechua,Diospa simin qelqa,1,1
44,ces1613,BKR,Czech Kralická Bible 1613,Bible Kralická 1613,cs,Czech,Čeština,4,
49,DA1871,DA1871,Danske Bibel 1871/1907,Danske Bibel 1871/1907,da,Danish,Dansk,3,
3050,DB15,BG15,The Bible in Datooga,Bibliyeeda Ghaydit,,Datooga,Datooga,0,1
165,STV,STV,Statenvertaling (Importantia edition) Bible,Statenvertaling (Importantia edition),nl,Dutch,Nederlands,4,1
328,NBG51,NBG51,NBG 1951 Translation,NBG-vertaling 1951,nl,Dutch,Nederlands,4,1
1276,BB,BB,BasisBijbel,"BasisBijbel, de bijbel in makkelijk Nederlands",nl,Dutch,Nederlands,4,1
1990,HSVU,HSV,Dutch Revised Bible 2010-2017,Herziene Statenvertaling,nl,Dutch,Nederlands,4,1
3743,VB,VB,De VensterBijbel,De VensterBijbel,nl,Dutch,Nederlands,4,1
3799,SVV,SVV,States General Version (edition Jongbloed 1995),Statenvertaling Jongbloed-editie,nl,Dutch,Nederlands,4,1
747,nhe,nhe,"Nahuatl, Eastern Huasteca,  Bible","Nahuatl, Eastern Huasteca",,Eastern Huasteca Nahuatl,Nahuat Eastern Huasteca,1,
3935,EDO96,EDO96,Edo First Bible 1996,Edo Bible (E Baibol Ẹdo) Version 1996,,Edo,Edo,,
2564,NTB,NTB,Nguna Togoa Bible,Ngunese Bible,,"Efate, North",Nguna,0,1
2570,EOB,ENA,Efik Old Bible With Sectional Headings,Edisana ñwed Abasi Ibom,,Efik,Efik,0,1
3865,eip,EIPA,Eipomek [Lik],Eipomek,,Eipomek,Eipomek,,
2771,EKEGUSIIBBLE,EKEGUSIIBBLE,OLD EKEGUSII BIBLE PROTESTANT EDITION,EBIBILIA  ENCHENU,,Ekegusii,Kusli,0,1
1,KJV,KJV,King James Version,King James Version,en,English,English,5,1
8,AMPC,AMPC,"Amplified Bible, Classic Edition","Amplified Bible, Classic Edition",en,English,English,5,1
12,ASV,ASV,American Standard Version,American Standard Version,en,English,English,5,1
59,ESV,ESV,English Standard Version 2025,English Standard Version 2025,en,English,English,5,1
70,GW,GW,GOD'S WORD,GOD'S WORD,en,English,English,5,1
72,HCSB,HCSB,Holman Christian Standard Bible,Holman Christian Standard Bible,en,English,English,5,1
90,LEB,LEB,Lexham English Bible,Lexham English Bible,en,English,English,5,1
97,MSG,MSG,The Message,The Message,en,English,English,5,1
100,NASB1995,NASB1995,New American Standard Bible 1995,New American Standard Bible - NASB 1995,en,English,English,5,1
105,NCV,NCV,New Century Version,New Century Version,en,English,English,5,
107,NET,NET,New English Translation,New English Translation,en,English,English,5,1
114,NKJV,NKJV,New King James Version,New King James Version,en,English,English,5,1
116,NLT,NLT,New Living Translation,New Living Translation,en,English,English,5,1
392,CEV,CEV,Contemporary English Version,Contemporary English Version,en,English,English,5,
406,ERV,ERV,Holy Bible: Easy-to-Read Version,Holy Bible: Easy-to-Read Version,en,English,English,5,
477,RV1885,RV1885,Revised Version 1885,Revised Version 1885,en,English,English,5,1
478,DARBY,DARBY,Darby's Translation 1890,Darby's Translation 1890,en,English,English,5,1
821,YLT98,YLT98,Young's Literal Translation 1898,Young's Literal Translation 1898,en,English,English,5,1
1077,JUB,JUB,Jubilee Bible,Jubilee Bible,en,English,English,5,1
1171,MEV,MEV,Modern English Version,Modern English Version,en,English,English,5,1
1359,ICB,ICB,International Children’s Bible,International Children’s Bible,en,English,English,5,
1588,AMP,AMP,Amplified Bible,Amplified Bible,en,English,English,5,1
1713,CSB,CSB,Christian Standard Bible,Christian Standard Bible,en,English,English,5,1
1932,FBV,FBV,Free Bible Version,Free Bible Version,en,English,English,5,1
2020,RSV,RSV,Revised Standard Version,Revised Standard Version,en,English,English,5,1
2163,enggnv,GNV,Geneva Bible,Geneva Bible,en,English,English,5,
2660,LSV,LSV,Literal Standard Version,Literal Standard Version,en,English,English,5,1
2692,NASB2020,NASB2020,New American Standard Bible 2020,New American Standard Bible - NASB,en,English,English,5,1
3034,BSB,BSB,Berean Standard Bible,Berean Standard Bible,en,English,English,5,1
3345,LSB,LSB,Legacy Standard Bible,Legacy Standard Bible,en,English,English,5,1
4108,YALL,YALL,Y'all Version Bible,Y'all Version Bible,en,English,English,5,1
4224,EHV,EHV,Evangelical Heritage Version,Evangelical Heritage Version - 2021,en,English,English,5,1
841,ESP,ESP,Esperanto Bible 1926,La Sankta Biblio 1926 (Esperanto Londona Biblio),eo,Esperanto,Esperanto,1,1
3172,VAO63,VAO63,Vanuatu Bible,Intas Etipup,,Eton,Eton,,
1600,Ezaa,Ezaa,Ezaa Bible,BAYỊBURU Ẹzaa,,Ezaa,Ezaa,,
389,FCL,FCL,Falam Common Language Bible,Falam Common Language Bible,,Falam Chin,Falam,,
374,FB,FB,Bible,BÍBLIA,fo,Faroese,Føroyskt,1,
136,POV-FAS,POV-FAS,Persian Old Version,Persian Old Version,,Farsi (Persian),فارسی,4,
508,FOV,FOV,Fijian Bible,Vakavakadewa Makawa,fj,Fijian,Vosa Vakaviti,1,1
3839,FIJ1864,FIJ1864,Fiji Bible 1864,AI VOLA TABU,fj,Fijian,Vosa Vakaviti,1,1
60,FI1776,FI1776,Finnish 1776,Finnish 1776,fi,Finnish,Suomi,4,1
365,FB38,FB38,Bible 1933/38,Kirkkoraamattu 1933/38,fi,Finnish,Suomi,4,
62,FMAR,FMAR,Martin 1744,Martin 1744,fr,French,Français,5,
106,NEG79,NEG79,Nouvelle Edition de Genève 1979,Nouvelle Edition de Genève 1979,fr,French,Français,5,
131,OST,OST,Ostervald,Ostervald,fr,French,Français,5,
3877,SGNEG79,NEG 1979,Segond NEG 1979,Version Segond Nouvelle Edition de Genève 1979,fr,French,Français,5,
2719,FB2000,FB2000,Futunian Bible,Tosi Tapu,,"Futuna, East","Futuna, East",0,
1829,LUG68,LUG68,Luganda Bible 1968 Edition,Ekitabo Ekitukuvu ekiyitibwa Baibuli Endagaano Enkadde n'Empya,lg,Ganda,Luganda,1,1
1013,GANGBSI,GANGBSI,Gangte Holy Bible (BSI),PATHIEN LEKHABU THIENGTHO (BSI),,Gangte,Gangte,,
51,DELUT,DELUT,Luther Bible 1912,Lutherbibel 1912,de,German,Deutsch,5,1
57,deuelo,ELB,German Unrevised Elberfelder Bible,Darby Unrevidierte Elberfelder,de,German,Deutsch,5,1
58,ELB71,ELB71,Elberfelder 1871,Elberfelder 1871,de,German,Deutsch,5,1
158,SCH1951,SCH1951,Die Bibel (Schlachter 1951),Die Heilige Schrift (Schlachter 1951),de,German,Deutsch,5,1
3039,LLKWW,LLKWW,Cigogo Bible 2002,Luganuzi Luswanu Kuli Wanhu Wose 2002,,Gogo,Gogo,,
1729,GJNb,GJNb,GONJA BIBLE,EBƆRƐ BE KAWƆL,,Gonja,Gonja,,
2857,LAIGOR,LAIGOR,Old and New Testament in Today's Gorontalo Version,KITABI HABARI MOPIOHE,,Gorontalo,Gorontalo,1,
613,gub,gub,Guajajára,Tupàn zeꞌeg,,Guajajára,Guajajára,0,
1911,IRVGuj,IRVGuj,Indian Revised Version (IRV) Gujarati-2019,ઇન્ડિયન રીવાઇઝ્ડ વર્ઝન ગુજરાતી  - 2019,gu,Gujarati,ગુજરાતી,1,1
2561,GERV,GERV,Holy Bible: Easy-to-Read Version,પવિત્ર બાઈબલ,gu,Gujarati,ગુજરાતી,1,
2405,GB23,BWL23,Gun Bible 1923,BIBLU WIWE LỌ 1923,,Gun,Gun-Alada,,
3593,GOURU,GOURU,La Sainte Bible en Gouru 1979,Kazambale lé Sebe Sauunu 1979,,Guro,Gouro,0,
3821,hatbsa,BSA,Haitian Bible,Bib Sen An: Kreyòl Ayisyen,ht,Haitian Creole,Kreyòl Ayisyen,0,1
3706,HNN,HNN,Hanunoo Version,Hanunuu,,Hanunoo,Hanunoo,0,
2766,BGC,BGC,Haryanvi Bible,हरियाणवी भाषा म्ह पवित्र शास्त्र,,Haryanvi,Haryanvi,,
2954,HAD,HAD,"Bible in Hatam Language Papua, Indonesia",ALLAH NIHYET MEM TUNGWATU NYA,,Hatam,Hatam,0,
71,HAU,HAU,Hausa Bible,Littafi Mai Tsarki,ha,Hausa,Hausa,2,
76,HPB,HPB,Hawaii Pidgin Bible,Hawaii Pidgin Bible,hw,Hawaii Creole English,Hawaii Pidgin,0,
2709,KBH,KBH,"Ka Baibala Hemolele, Hawaiian Bible",Ka Baibala Hemolele,,Hawaiian,Hawaiian,1,1
10,APD,APD,Hiligaynon Contemporary Bible 2022,Ang Pulong Sang Dios,,Hiligaynon,Ilonggo,0,
2191,ABHIL82,ABHIL82,Hiligaynon Form-Based Bible: Ang Biblia (1982),Ang Biblia (1982),,Hiligaynon,Ilonggo,0,1
819,HHBD,HHBD,Hindi Holy Bible,Hindi Holy Bible,hi,Hindi,हिन्दी,4,1
1628,HCV,HCV,Hindi Contemporary Version,सरल हिन्दी बाइबल,hi,Hindi,हिन्दी,4,1
1980,IRVHin,IRVHin,Indian Revised Version(IRV) Hindi - 2019,इंडियन रिवाइज्ड वर्जन (IRV) हिंदी - 2019,hi,Hindi,हिन्दी,4,1
2562,HERV,HERV,Holy Bible: Easy-to-Read Version,पवित्र बाइबल,hi,Hindi,हिन्दी,4,
820,HHBR,HHBR,Hindi Holy Bible,Hindi Holy Bible,,Hindi (Roman script),Hindi (Roman Script),4,1
2092,HMOTU93,HMOTU93,Hiri Motu Bible 1993,Buka Helaga (Hiri Motu) 1993,ho,Hiri Motu,Hiri Motu,0,1
1863,HMARCLBSI,HMARCLBSI,Hmar CL Bible (BSI),Pathien Lekhabu Inthieng (BSI),,Hmar,Hmar,0,1
1864,HMOVBSI,HMOVBSI,Hmar OV (Re-edited) Bible (Millennium) (BSI),Pathien Lekhabu Inthieng (BSI),,Hmar,Hmar,0,1
1269,HMOWSV,HMOWSV,The Holy Bible - White Hmong Standard Version (2004),Vajtswv Txojlus - lus Hmoob Dawb - txhais tshiab xyoo 2004,,Hmong Daw,Hmong,0,1
1216,HMOBSV,HMOBSV,The Holy Bible - Blue Hmong Standard Version (2004),Vaajtswv Txujlug - lug Moob Ntsuab  - txhais tshab xyoo 2004,,Hmong Njua,Hmong Hoa,0,1
1018,HRACLBSI,HRACLBSI,Hrangkhol C.L. Bible (BSI),PATHIAN LEKHABU IRTHIANG C.L. Bible (BSI),,Hrangkhol,Hrangkhol,,
670,qvhB,qvhB,Quechua Huamalies Bible,Tayta Diospa Wilakuynin,,Huamalíes-Dos de Mayo Huánuco Quechua,Huamalíes-Dos de Mayo Huánuco Quechua,1,
734,qwhB,qwhB,"Quechua, Huaylas Bible",Teyta Diospa Willakïnin,,Huaylas Ancash Quechua,Huaylas Ancash Quechua,1,
830,hchk,hch,Kakaɨyari Niukieya,Kakaɨyari Niukieya,,Huichol,Huichol,0,1
84,HUNK,HUNK,Karoli Bible 1908,Karoli Bible 1908,hu,Hungarian,Magyar,4,
198,ERV-HU,EFO,2012 HUNGARIAN BIBLE: EASY-TO-READ VERSION,2012 HUNGARIAN BIBLE: EASY-TO-READ VERSION,hu,Hungarian,Magyar,4,
2619,ICB,ICB,Ibibio Contemporary Bible 2025,Adisana Ñwed Abasi ke Ikọ Ibibio Ayio Mfịn,,Ibibio,Ibibio,0,1
2359,BIBLIAN81,BIBLIAN81,Icelandic Bible 1981,Biblían (1981),is,Icelandic,Íslenska,2,
2615,IGL70,IGL70,The Bible in Igala 1970,O̩TAKADA O̩LA O̩JO̩ 1970,,Igala,Igala,,
77,IGBOB,IGBOB,Bible,Bible Nso,ig,Igbo,Igbo,1,1
3066,ikkBI,ikkBI,The Bible in Ika,Ika,,Ika,Ika,0,1
1599,Ikwo,Ikwo,Ikwo Bible,BAYỊBURU Ikwo,,Ikwo,Ikwo,,
782,RIPV,RIPV,Bible with DC,Ti Baro a Naimbag a Damag Biblia,,Iloko,Ilokano,1,
2192,TB1973,TB1973,Ilokano Form-Based Bible: Ti Biblia (1973),Ti Biblia (1973),,Iloko,Ilokano,1,1
264,QUII,QUII,Quichua Imbabura Bible,Diospaj Shimi,,Imbabura Highland Quichua,Kichwa: Imbabura,1,1
27,BIMK,BIMK,Today's Indonesian Version,Alkitab dalam Bahasa Indonesia Masa Kini,id,Indonesian,Bahasa Indonesia,3,
306,TB,TB,Terjemahan Baru Indonesia,Alkitab Terjemahan Baru,id,Indonesian,Bahasa Indonesia,3,1
2861,LAI-TL,LAI-TL,Indonesian Bible Old Translation,Alkitab Terjemahan Lama,id,Indonesian,Bahasa Indonesia,3,1
455,EAIB,EAIB,Eastern Artic Inuktitut Bible,ᐊᒡᓔᑦ ᐃᑦᔪᕐᖕᓁᑦᑐᑦ,,Inuktitut: Eastern Arctic,ᐃᓄᒃᑎᑐᑦ,1,1
803,LIHB08,LIHB08,Labrador Inuttitut Heritage Bible,Labrador Inuttitut Heritage Bible,,Inuktitut: Labrador (Nunavimmiututut),ᓄᓇᕗᒻᒥᐅᑦ,1,1
3623,OSS2022,ИрББЛ2022,Ossetic Bible 2022 (extended),Библи: Сыгъдӕг Фысты чингуытӕ: Рагон Фӕдзӕхст ӕмӕ Ног Фӕдзӕхст,os,Irōn ævzag (Ossetian),ирон ӕвзаг,1,
54,DB1885,DB1885,Diodati Bible 1885,Diodati Bibbia 1885,it,Italian,Italiano,4,
122,NR06,NR06,Nuova Riveduta 2006,Nuova Riveduta 2006,it,Italian,Italiano,4,1
123,NR94,NR94,Nuova Riveduta 1994,Nuova Riveduta 1994,it,Italian,Italiano,4,1
141,RDV24,RDV24,Versione Diodati Riveduta,Versione Diodati Riveduta,it,Italian,Italiano,4,
3368,IRB20,IRB20,Italian Riveduta 2020 Bible,La Sacra Bibbia Versione Riveduta 2020 (R2),it,Italian,Italiano,4,
220,IuMiTH,IuMiTH,Mien Bible (Thai Script),Iu-Mien Thai,,Iu Mien,ภาษาอิวเมี่ยน,,
1601,Izii,Izii,Izii Bible,BAYỊBURU Izii,,Izii,Izii,,
81,JA1955,JA1955,Colloquial Japanese (1955),Colloquial Japanese (1955),ja,Japanese,日本語,5,1
