doc_id,title,start,end
277,A Futile Invasion Attempt,NUM.14.39,NUM.14.45
278,Laws of Grain and Drink Offerings,NUM.15.1,NUM.15.21
279,Laws Concerning Unintentional Sin,NUM.15.22,NUM.15.29
280,Law Concerning Presumptuous Sin,NUM.15.30,NUM.15.31
281,Penalty for Violating the Sabbath,NUM.15.32,NUM.15.36
282,Tassels on Garments,NUM.15.37,NUM.15.41
283,Rebellion Against Moses and Aaron,NUM.16.1,NUM.16.40
284,Complaints of the People,NUM.16.41,NUM.16.50
285,The Budding of Aaron’s Rod,NUM.17.1,NUM.17.12
286,Duties of Priests and Levites,NUM.18.1,NUM.18.7
287,Offerings for Support of the Priests,NUM.18.8,NUM.18.20
288,Tithes for Support of the Levites,NUM.18.21,NUM.18.24
289,The Tithe of the Levites,NUM.18.25,NUM.18.32
290,Laws of Purification,NUM.19.1,NUM.19.22
291,Moses’ Error at Kadesh,NUM.20.1,NUM.20.13
292,Passage Through Edom Refused,NUM.20.14,NUM.20.21
293,Death of Aaron,NUM.20.22,NUM.20.29
294,Canaanites Defeated at Hormah,NUM.21.1,NUM.21.3
295,The Bronze Serpent,NUM.21.4,NUM.21.9
296,From Mount Hor to Moab,NUM.21.10,NUM.21.20
297,King Sihon Defeated,NUM.21.21,NUM.21.32
298,King Og Defeated,NUM.21.33,NUM.21.35
299,Balak Sends for Balaam,NUM.22.1,NUM.22.21
300,"Balaam, the Donkey, and the Angel",NUM.22.22,NUM.22.40
301,Balaam’s First Prophecy,NUM.22.41,NUM.22.41
302,Balaam’s Second Prophecy,NUM.23.1,NUM.23.12
303,Balaam’s Third Prophecy,NUM.23.13,NUM.24.14
304,Balaam’s Fourth Prophecy,NUM.24.15,NUM.24.25
305,Israel’s Harlotry in Moab,NUM.25.1,NUM.25.18
306,The Second Census of Israel,NUM.26.1,NUM.26.65
307,Inheritance Laws,NUM.27.1,NUM.27.11
308,Joshua the Next Leader of Israel,NUM.27.12,NUM.27.23
309,Daily Offerings,NUM.28.1,NUM.28.8
310,Sabbath Offerings,NUM.28.9,NUM.28.10
311,Monthly Offerings,NUM.28.11,NUM.28.15
312,Offerings at Passover,NUM.28.16,NUM.28.25
313,Offerings at the Feast of Weeks,NUM.28.26,NUM.28.31
314,Offerings at the Feast of Trumpets,NUM.29.1,NUM.29.6
315,Offerings on the Day of Atonement,NUM.29.7,NUM.29.11
316,Offerings at the Feast of Tabernacles,NUM.29.12,NUM.29.40
317,The Law Concerning Vows,NUM.30.1,NUM.30.16
318,Vengeance on the Midianites,NUM.31.1,NUM.31.11
319,Return from the War,NUM.31.12,NUM.31.24
320,Division of the Plunder,NUM.31.25,NUM.31.54
321,The Tribes Settling East of the Jordan,NUM.32.1,NUM.32.42
322,Israel’s Journey from Egypt Reviewed,NUM.33.1,NUM.33.49
323,Instructions for the Conquest of Canaan,NUM.33.50,NUM.33.56
324,The Appointed Boundaries of Canaan,NUM.34.1,NUM.34.15
325,The Leaders Appointed to Divide the Land,NUM.34.16,NUM.34.29
326,Cities for the Levites,NUM.35.1,NUM.35.8
327,Cities of Refuge,NUM.35.9,NUM.35.34
328,Marriage of Female Heirs,NUM.36.1,NUM.36.13
329,The Previous Command to Enter Canaan,DEU.1.1,DEU.1.8
330,Tribal Leaders Appointed,DEU.1.9,DEU.1.18
331,Israel’s Refusal to Enter the Land,DEU.1.19,DEU.1.33
332,The Penalty for Israel’s Rebellion,DEU.1.34,DEU.1.46
333,The Desert Years,DEU.2.1,DEU.2.25
334,King Sihon Defeated,DEU.2.26,DEU.2.37
335,King Og Defeated,DEU.3.1,DEU.3.11
336,The Land East of the Jordan Divided,DEU.3.12,DEU.3.22
337,Moses Forbidden to Enter the Land,DEU.3.23,DEU.3.29
338,Moses Commands Obedience,DEU.4.1,DEU.4.14
339,Beware of Idolatry,DEU.4.15,DEU.4.40
340,Cities of Refuge East of the Jordan,DEU.4.41,DEU.4.43
341,Introduction to God’s Law,DEU.4.44,DEU.4.49
342,The Ten Commandments Reviewed,DEU.5.1,DEU.5.22
343,The People Afraid of God’s Presence,DEU.5.23,DEU.5.33
344,The Greatest Commandment,DEU.6.1,DEU.6.9
345,Caution Against Disobedience,DEU.6.10,DEU.6.25
346,A Chosen People,DEU.7.1,DEU.7.11
347,Blessings of Obedience,DEU.7.12,DEU.7.26
348,Remember the Lord Your God,DEU.8.1,DEU.8.20
349,Israel’s Rebellions Reviewed,DEU.9.1,DEU.9.29
350,The Second Pair of Tablets,DEU.10.1,DEU.10.11
351,The Essence of the Law,DEU.10.12,DEU.10.22
352,Love and Obedience Rewarded,DEU.11.1,DEU.11.32
353,A Prescribed Place of Worship,DEU.12.1,DEU.12.28
354,Beware of False Gods,DEU.12.29,DEU.12.32
355,Punishment of Apostates,DEU.13.1,DEU.13.18
356,Improper Mourning,DEU.14.1,DEU.14.2
357,Clean and Unclean Meat,DEU.14.3,DEU.14.21
358,Tithing Principles,DEU.14.22,DEU.14.29
359,Debts Canceled Every Seven Years,DEU.15.1,DEU.15.6
360,Generosity to the Poor,DEU.15.7,DEU.15.12
361,The Law Concerning Bondservants,DEU.15.12,DEU.15.18
362,The Law Concerning Firstborn Animals,DEU.15.19,DEU.15.23
363,The Passover Reviewed,DEU.16.1,DEU.16.8
364,The Feast of Weeks Reviewed,DEU.16.9,DEU.16.12
365,The Feast of Tabernacles Reviewed,DEU.16.13,DEU.16.17
366,Justice Must Be Administered,DEU.16.18,DEU.17.13
367,Principles Governing Kings,DEU.17.14,DEU.17.20
368,The Portion of the Priests and Levites,DEU.18.1,DEU.18.8
369,Avoid Wicked Customs,DEU.18.9,DEU.18.14
370,A New Prophet Like Moses,DEU.18.15,DEU.18.22
371,Three Cities of Refuge,DEU.19.1,DEU.19.13
372,Property Boundaries,DEU.19.14,DEU.19.14
373,The Law Concerning Witnesses,DEU.19.15,DEU.19.21
374,Principles Governing Warfare,DEU.20.1,DEU.20.20
375,The Law Concerning Unsolved Murder,DEU.21.1,DEU.21.9
376,Female Captives,DEU.21.10,DEU.21.14
377,Firstborn Inheritance Rights,DEU.21.15,DEU.21.17
378,The Rebellious Son,DEU.21.18,DEU.21.21
379,Miscellaneous Laws,DEU.21.22,DEU.22.12
380,Laws of Sexual Morality,DEU.22.13,DEU.22.30
381,Those Excluded from the Congregation,DEU.23.1,DEU.23.8
382,Cleanliness of the Campsite,DEU.23.9,DEU.23.14
383,Miscellaneous Laws,DEU.23.15,DEU.23.25
384,Law Concerning Divorce,DEU.24.1,DEU.24.4
385,Miscellaneous Laws,DEU.24.5,DEU.25.4
386,Marriage Duty of the Surviving Brother,DEU.25.5,DEU.25.10
387,Miscellaneous Laws,DEU.25.11,DEU.25.16
388,Destroy the Amalekites,DEU.25.17,DEU.25.19
389,Offerings of Firstfruits and Tithes,DEU.26.1,DEU.26.15
390,A Special People of God,DEU.26.16,DEU.26.19
391,The Law Inscribed on Stones,DEU.27.1,DEU.27.10
392,Curses Pronounced from Mount Ebal,DEU.27.11,DEU.27.26
393,Blessings on Obedience,DEU.28.1,DEU.28.14
394,Curses on Disobedience,DEU.28.15,DEU.28.68
395,The Covenant Renewed in Moab,DEU.29.1,DEU.29.29
396,The Blessing of Returning to God,DEU.30.1,DEU.30.10
397,The Choice of Life or Death,DEU.30.11,DEU.30.20
398,Joshua the New Leader of Israel,DEU.31.1,DEU.31.8
399,The Law to Be Read Every Seven Years,DEU.31.9,DEU.31.13
400,Prediction of Israel’s Rebellion,DEU.31.14,DEU.31.29
401,The Song of Moses,DEU.31.30,DEU.32.47
402,Moses to Die on Mount Nebo,DEU.32.48,DEU.32.52
403,Moses’ Final Blessing on Israel,DEU.33.1,DEU.33.29
404,Moses Dies on Mount Nebo,DEU.34.1,DEU.34.12
405,God’s Commission to Joshua,JOS.1.1,JOS.1.9
406,The Order to Cross the Jordan,JOS.1.10,JOS.1.18
407,Rahab Hides the Spies,JOS.2.1,JOS.2.24
408,Israel Crosses the Jordan,JOS.3.1,JOS.3.17
409,The Memorial Stones,JOS.4.1,JOS.4.24
410,The Second Generation Circumcised,JOS.5.1,JOS.5.12
411,The Commander of the Army of the Lord,JOS.5.13,JOS.5.15
412,The Destruction of Jericho,JOS.6.1,JOS.6.27
413,Defeat at Ai,JOS.7.1,JOS.7.9
414,The Sin of Achan,JOS.7.10,JOS.7.26
415,The Fall of Ai,JOS.8.1,JOS.8.29
416,Joshua Renews the Covenant,JOS.8.30,JOS.8.35
417,The Treaty with the Gibeonites,JOS.9.1,JOS.9.27
418,The Sun Stands Still,JOS.10.1,JOS.10.15
419,The Amorite Kings Executed,JOS.10.16,JOS.10.27
420,Conquest of the Southland,JOS.10.28,JOS.10.43
421,The Northern Conquest,JOS.11.1,JOS.11.15
422,Summary of Joshua’s Conquests,JOS.11.16,JOS.11.23
423,The Kings Conquered by Moses,JOS.12.1,JOS.12.6
424,The Kings Conquered by Joshua,JOS.12.7,JOS.12.23
425,Remaining Land to Be Conquered,JOS.13.1,JOS.13.7
426,The Land Divided East of the Jordan,JOS.13.8,JOS.13.14
427,The Land of Reuben,JOS.13.15,JOS.13.23
428,The Land of Gad,JOS.13.24,JOS.13.28
429,Half the Tribe of Manasseh (East),JOS.13.29,JOS.13.33
430,The Land Divided West of the Jordan,JOS.14.1,JOS.14.5
431,Caleb Inherits Hebron,JOS.14.6,JOS.14.15
432,The Land of Judah,JOS.15.1,JOS.15.12
433,Caleb Occupies Hebron and Debir,JOS.15.13,JOS.15.19
434,The Cities of Judah,JOS.15.20,JOS.15.63
435,Ephraim and West Manasseh,JOS.16.1,JOS.16.4
436,The Land of Ephraim,JOS.16.5,JOS.16.10
437,The Other Half-Tribe of Manasseh (West),JOS.17.1,JOS.17.13
438,More Land for Ephraim and Manasseh,JOS.17.14,JOS.17.18
439,The Remainder of the Land Divided,JOS.18.1,JOS.18.10
440,The Land of Benjamin,JOS.18.11,JOS.18.28
441,Simeon’s Inheritance with Judah,JOS.19.1,JOS.19.9
442,The Land of Zebulun,JOS.19.10,JOS.19.16
443,The Land of Issachar,JOS.19.17,JOS.19.23
444,The Land of Asher,JOS.19.24,JOS.19.31
445,The Land of Naphtali,JOS.19.32,JOS.19.39
446,The Land of Dan,JOS.19.40,JOS.19.48
447,Joshua’s Inheritance,JOS.19.49,JOS.19.51
448,The Cities of Refuge,JOS.20.1,JOS.20.9
449,Cities of the Levites,JOS.21.1,JOS.21.42
450,The Promise Fulfilled,JOS.21.43,JOS.21.45
451,Eastern Tribes Return to Their Lands,JOS.22.1,JOS.22.9
452,An Altar by the Jordan,JOS.22.10,JOS.22.34
453,Joshua’s Farewell Address,JOS.23.1,JOS.23.16
454,The Covenant at Shechem,JOS.24.1,JOS.24.28
455,Death of Joshua and Eleazar,JOS.24.29,JOS.24.33
456,The Continuing Conquest of Canaan,JDG.1.1,JDG.1.26
457,Incomplete Conquest of the Land,JDG.1.27,JDG.1.36
458,Israel’s Disobedience,JDG.2.1,JDG.2.6
459,Death of Joshua,JDG.2.7,JDG.2.10
460,Israel’s Unfaithfulness,JDG.2.11,JDG.2.23
461,The Nations Remaining in the Land,JDG.3.1,JDG.3.6
462,Othniel,JDG.3.7,JDG.3.11
463,Ehud,JDG.3.12,JDG.3.30
464,Shamgar,JDG.3.31,JDG.3.31
465,Deborah,JDG.4.1,JDG.4.24
466,The Song of Deborah,JDG.5.1,JDG.5.31
467,Midianites Oppress Israel,JDG.6.1,JDG.6.10
